ahmed@ahmed-VirtualBox:~/task5$ gcc task5.c -o output
ahmed@ahmed-VirtualBox:~/task5$ ./task5.c /home 1024
bash: ./task5.c: Permission denied
ahmed@ahmed-VirtualBox:~/task5$ ./task5 /home 1024
bash: ./task5: No such file or directory
ahmed@ahmed-VirtualBox:~/task5$ ./output /home 1024
File Size Histogram (bin width = 1024 bytes):
0 - 1023: 13797 files
1024 - 2047: 8624 files
2048 - 3071: 6912 files
3072 - 4095: 6199 files
4096 - 5119: 5529 files
5120 - 6143: 5329 files
6144 - 7167: 4480 files
7168 - 8191: 3810 files
8192 - 9215: 2517 files
9216 - 10239: 3044 files
10240 - 11263: 2989 files
11264 - 12287: 1961 files
12288 - 13311: 982 files
13312 - 14335: 551 files
14336 - 15359: 398 files
15360 - 16383: 862 files
16384 - 17407: 332 files
17408 - 18431: 160 files
18432 - 19455: 237 files
19456 - 20479: 363 files
20480 - 21503: 268 files
21504 - 22527: 102 files
22528 - 23551: 130 files
23552 - 24575: 99 files
24576 - 25599: 64 files
25600 - 26623: 34 files
26624 - 27647: 21 files
27648 - 28671: 69 files
28672 - 29695: 42 files
29696 - 30719: 19 files
30720 - 31743: 49 files
31744 - 32767: 96 files
32768 - 33791: 88 files
33792 - 34815: 103 files
34816 - 35839: 27 files
35840 - 36863: 34 files
36864 - 37887: 44 files
37888 - 38911: 104 files
38912 - 39935: 28 files
39936 - 40959: 47 files
40960 - 41983: 39 files
41984 - 43007: 47 files
43008 - 44031: 18 files
44032 - 45055: 13 files
45056 - 46079: 28 files
46080 - 47103: 22 files
47104 - 48127: 22 files
48128 - 49151: 16 files
49152 - 50175: 43 files
50176 - 51199: 119 files
51200 - 52223: 16 files
52224 - 53247: 7 files
53248 - 54271: 31 files
54272 - 55295: 6 files
55296 - 56319: 10 files
56320 - 57343: 5 files
57344 - 58367: 118 files
58368 - 59391: 9 files
59392 - 60415: 52 files
60416 - 61439: 471 files
61440 - 62463: 4 files
62464 - 63487: 4 files
63488 - 64511: 6 files
64512 - 65535: 459 files
65536 - 66559: 12 files
66560 - 67583: 19 files
67584 - 68607: 1 files
68608 - 69631: 4 files
69632 - 70655: 3 files
70656 - 71679: 10 files
71680 - 72703: 6 files
72704 - 73727: 52 files
73728 - 74751: 8 files
74752 - 75775: 6 files
75776 - 76799: 8 files
76800 - 77823: 4 files
77824 - 78847: 9 files
79872 - 80895: 4 files
80896 - 81919: 4 files
81920 - 82943: 11 files
82944 - 83967: 12 files
83968 - 84991: 5 files
84992 - 86015: 56 files
86016 - 87039: 3 files
87040 - 88063: 5 files
88064 - 89087: 1 files
89088 - 90111: 6 files
90112 - 91135: 7 files
91136 - 92159: 5 files
92160 - 93183: 6 files
93184 - 94207: 1 files
94208 - 95231: 4 files
95232 - 96255: 3 files
96256 - 97279: 6 files
97280 - 98303: 10 files
98304 - 99327: 8 files
99328 - 100351: 2 files
100352 - 101375: 8 files
101376 - 102399: 9 files
102400 - 103423: 3 files
103424 - 104447: 3 files
104448 - 105471: 1 files
105472 - 106495: 1 files
106496 - 107519: 1 files
107520 - 108543: 2 files
108544 - 109567: 2 files
109568 - 110591: 6 files
110592 - 111615: 3 files
111616 - 112639: 6 files
113664 - 114687: 4 files
114688 - 115711: 2 files
115712 - 116735: 1 files
116736 - 117759: 4 files
117760 - 118783: 3 files
118784 - 119807: 1 files
120832 - 121855: 1 files
121856 - 122879: 4 files
125952 - 126975: 4 files
128000 - 129023: 2 files
129024 - 130047: 1 files
130048 - 131071: 6 files
131072 - 132095: 7 files
133120 - 134143: 2 files
134144 - 135167: 2 files
135168 - 136191: 3 files
137216 - 138239: 5 files
138240 - 139263: 1 files
139264 - 140287: 3 files
140288 - 141311: 2 files
142336 - 143359: 2 files
144384 - 145407: 1 files
145408 - 146431: 3 files
146432 - 147455: 1 files
147456 - 148479: 2 files
148480 - 149503: 1 files
149504 - 150527: 1 files
150528 - 151551: 1 files
151552 - 152575: 1 files
156672 - 157695: 1 files
157696 - 158719: 1 files
158720 - 159743: 4 files
159744 - 160767: 2 files
160768 - 161791: 1 files
162816 - 163839: 1 files
163840 - 164863: 3 files
164864 - 165887: 1 files
165888 - 166911: 6 files
167936 - 168959: 7 files
168960 - 169983: 2 files
169984 - 171007: 1 files
173056 - 174079: 1 files
176128 - 177151: 2 files
177152 - 178175: 2 files
178176 - 179199: 2 files
179200 - 180223: 3 files
182272 - 183295: 1 files
184320 - 185343: 2 files
185344 - 186367: 1 files
186368 - 187391: 2 files
187392 - 188415: 3 files
188416 - 189439: 3 files
190464 - 191487: 2 files
191488 - 192511: 3 files
193536 - 194559: 1 files
194560 - 195583: 1 files
195584 - 196607: 1 files
196608 - 197631: 1 files
197632 - 198655: 2 files
200704 - 201727: 4 files
202752 - 203775: 2 files
203776 - 204799: 3 files
204800 - 205823: 2 files
207872 - 208895: 1 files
208896 - 209919: 1 files
209920 - 210943: 2 files
211968 - 212991: 1 files
212992 - 214015: 1 files
214016 - 215039: 1 files
215040 - 216063: 1 files
216064 - 217087: 1 files
217088 - 218111: 1 files
219136 - 220159: 3 files
222208 - 223231: 1 files
225280 - 226303: 2 files
227328 - 228351: 1 files
228352 - 229375: 5 files
229376 - 230399: 6 files
230400 - 231423: 2 files
231424 - 232447: 4 files
233472 - 234495: 1 files
234496 - 235519: 1 files
235520 - 236543: 1 files
237568 - 238591: 2 files
238592 - 239615: 2 files
239616 - 240639: 2 files
240640 - 241663: 1 files
241664 - 242687: 1 files
243712 - 244735: 1 files
244736 - 245759: 1 files
245760 - 246783: 2 files
246784 - 247807: 3 files
247808 - 248831: 3 files
248832 - 249855: 4 files
250880 - 251903: 1 files
251904 - 252927: 2 files
256000 - 257023: 3 files
257024 - 258047: 1 files
259072 - 260095: 1 files
261120 - 262143: 2 files
262144 - 263167: 5 files
264192 - 265215: 2 files
265216 - 266239: 1 files
268288 - 269311: 2 files
270336 - 271359: 4 files
